Date,Open,High,Low,Close,Volume,Open_weekly,High_weekly,Low_weekly,Close_weekly,Volume_weekly
2007-11-29,1885.319946,1891.449951,1871.589966,1877.560059,347700,1936.380005,1936.5,1745.26001,1772.880005,1564500.0
2007-11-30,1886.579956,1918.119995,1884.920044,1906.0,339300,1936.380005,1936.5,1745.26001,1772.880005,1564500.0
2007-12-03,1907.949951,1912.709961,1888.079956,1902.430054,291600,1803.76001,1918.119995,1787.949951,1906.0,1641000.0
2007-12-04,1904.329956,1921.829956,1901.51001,1917.829956,288600,1803.76001,1918.119995,1787.949951,1906.0,1641000.0
2007-12-05,1911.920044,1945.030029,1905.650024,1938.199951,310300,1803.76001,1918.119995,1787.949951,1906.0,1641000.0
2007-12-06,1965.890015,1972.369995,1946.130005,1953.170044,339200,1803.76001,1918.119995,1787.949951,1906.0,1641000.0
2007-12-07,1969.48999,1969.560059,1934.319946,1934.319946,361200,1803.76001,1918.119995,1787.949951,1906.0,1641000.0
2007-12-10,1930.359985,1935.859985,1900.949951,1906.420044,284800,1907.949951,1972.369995,1888.079956,1934.319946,1590900.0
2007-12-11,1922.660034,1929.709961,1904.209961,1925.069946,264500,1907.949951,1972.369995,1888.079956,1934.319946,1590900.0
2007-12-12,1887.5,1928.77002,1887.22998,1927.449951,314500,1907.949951,1972.369995,1888.079956,1934.319946,1590900.0
2007-12-13,1921.650024,1937.5,1897.25,1915.900024,328600,1907.949951,1972.369995,1888.079956,1934.319946,1590900.0
2007-12-14,1914.469971,1921.530029,1877.27002,1895.050049,301500,1907.949951,1972.369995,1888.079956,1934.319946,1590900.0
2007-12-17,1873.150024,1886.390015,1839.579956,1839.819946,282500,1930.359985,1937.5,1877.27002,1895.050049,1493900.0
2007-12-18,1821.300049,1869.709961,1808.859985,1861.469971,277000,1930.359985,1937.5,1877.27002,1895.050049,1493900.0
2007-12-20,1878.589966,1882.609985,1843.72998,1844.369995,401800,1930.359985,1937.5,1877.27002,1895.050049,1493900.0
2007-12-21,1855.060059,1878.319946,1832.339966,1878.319946,362600,1930.359985,1937.5,1877.27002,1895.050049,1493900.0
2007-12-24,1899.199951,1921.390015,1894.790039,1919.469971,317100,1873.150024,1886.390015,1808.859985,1878.319946,1323900.0
2007-12-26,1924.910034,1926.089966,1901.910034,1906.719971,261000,1873.150024,1886.390015,1808.859985,1878.319946,1323900.0
2007-12-27,1901.930054,1915.189941,1891.290039,1908.619995,235900,1873.150024,1886.390015,1808.859985,1878.319946,1323900.0
2007-12-28,1892.560059,1911.670044,1890.810059,1897.130005,229400,1873.150024,1886.390015,1808.859985,1878.319946,1323900.0
2008-01-02,1891.449951,1892.5,1852.780029,1853.449951,247100,1899.199951,1926.089966,1890.810059,1897.130005,1043400.0
2008-01-03,1834.439941,1858.079956,1821.609985,1852.72998,253700,1899.199951,1926.089966,1890.810059,1897.130005,1043400.0
2008-01-04,1853.540039,1869.76001,1824.410034,1863.900024,299100,1899.199951,1926.089966,1890.810059,1897.130005,1043400.0
2008-01-07,1815.72998,1840.98999,1814.349976,1831.140015,268100,1891.449951,1892.5,1821.609985,1863.900024,799900.0
2008-01-08,1838.640015,1840.619995,1818.689941,1826.22998,296600,1891.449951,1892.5,1821.609985,1863.900024,799900.0
2008-01-09,1802.060059,1844.469971,1794.150024,1844.469971,277700,1891.449951,1892.5,1821.609985,1863.900024,799900.0
2008-01-10,1847.939941,1855.069946,1824.780029,1824.780029,315500,1891.449951,1892.5,1821.609985,1863.900024,799900.0
2008-01-11,1844.569946,1847.109985,1776.26001,1782.27002,280800,1891.449951,1892.5,1821.609985,1863.900024,799900.0
