Date,Open,High,Low,Close,Volume,Index
2021-07-02,3305.459961,3311.689941,3276.629883,3281.780029,6425200,^KS11
2021-07-09,3285.290039,3313.51001,3188.800049,3217.949951,5848000,^KS11
2021-07-16,3227.51001,3286.580078,3227.51001,3276.909912,5430400,^KS11
2021-07-23,3258.870117,3264.01001,3214.419922,3254.419922,4582300,^KS11
2021-07-30,3265.98999,3265.98999,3202.320068,3202.320068,4067900,^KS11
2021-08-06,3218.419922,3296.169922,3194.0,3270.360107,3465900,^KS11
2021-08-13,3258.100098,3275.149902,3146.76001,3171.290039,3390400,^KS11
2021-08-20,3169.73999,3179.48999,3049.030029,3060.51001,2641300,^KS11
2021-08-27,3086.810059,3161.0,3064.649902,3133.899902,3005700,^KS11
2021-09-03,3160.870117,3215.129883,3130.300049,3201.060059,3402300,^KS11
2021-09-10,3196.300049,3206.25,3103.379883,3125.76001,3993900,^KS11
2021-09-17,3117.350098,3167.679932,3109.01001,3140.51001,3258300,^KS11
2021-09-24,3123.639893,3146.860107,3107.97998,3125.23999,1375800,^KS11
2021-10-01,3121.699951,3146.350098,3015.01001,3019.179932,4337600,^KS11
2021-10-08,2998.169922,2998.169922,2908.300049,2956.300049,3002700,^KS11
2021-10-15,2950.219971,3021.899902,2901.51001,3015.060059,2885100,^KS11
2021-10-22,3017.47998,3047.23999,2990.439941,3006.159912,4033300,^KS11
2021-10-29,3001.100098,3051.649902,2965.399902,2970.679932,3125300,^KS11
2021-11-05,2984.179932,3034.300049,2953.959961,2969.27002,3117800,^KS11
2021-11-12,2965.360107,2987.280029,2903.719971,2968.800049,3071600,^KS11
2021-11-19,2989.679932,3011.879883,2937.530029,2971.02002,2956000,^KS11
2021-11-26,2983.379883,3018.01001,2930.310059,2936.439941,2801900,^KS11
2021-12-03,2906.149902,2975.439941,2822.72998,2968.330078,3407000,^KS11
2021-12-10,2954.820068,3036.129883,2932.48999,3010.22998,2472300,^KS11
2021-12-17,3019.669922,3043.830078,2973.0,3017.72998,2242900,^KS11
2021-12-24,3001.330078,3025.77002,2955.899902,3012.429932,2269800,^KS11
2021-12-31,3013.939941,3020.290039,2975.73999,2977.649902,2088400,^KS11
2022-01-07,2991.969971,2995.25,2915.379883,2954.889893,2739400,^KS11
2022-01-14,2947.370117,2982.139893,2909.820068,2921.919922,2698700,^KS11
2022-01-21,2918.550049,2919.669922,2817.110107,2834.290039,2537900,^KS11
2022-01-28,2823.76001,2828.110107,2591.530029,2663.340088,2505600,^KS11
2022-02-04,2706.340088,2751.800049,2702.780029,2750.26001,971200,^KS11
2022-02-11,2750.699951,2788.27002,2718.939941,2747.709961,2505500,^KS11
2022-02-18,2715.100098,2770.659912,2665.469971,2744.52002,2750700,^KS11
2022-02-25,2706.649902,2746.620117,2642.629883,2676.76001,3270800,^KS11
2022-03-04,2663.0,2748.209961,2658.25,2713.429932,2520700,^KS11
2022-03-11,2680.169922,2682.790039,2605.810059,2661.280029,2521400,^KS11
2022-03-18,2654.929932,2714.0,2615.080078,2707.02002,3164600,^KS11
2022-03-25,2717.810059,2742.27002,2683.689941,2729.97998,3433500,^KS11
2022-04-01,2721.219971,2765.199951,2707.73999,2739.850098,4667000,^KS11
2022-04-08,2729.860107,2769.179932,2685.52002,2700.389893,5895600,^KS11
2022-04-15,2687.540039,2720.300049,2658.399902,2696.060059,3702600,^KS11
2022-04-22,2685.040039,2737.540039,2681.370117,2704.709961,6258400,^KS11
2022-04-29,2676.669922,2696.100098,2615.5,2695.050049,4852900,^KS11
2022-05-06,2669.209961,2702.100098,2635.969971,2644.51001,4270600,^KS11
2022-05-13,2590.129883,2605.840088,2546.800049,2604.23999,3208400,^KS11
2022-05-20,2624.689941,2644.129883,2568.540039,2639.290039,3951600,^KS11
2022-05-27,2651.629883,2653.870117,2602.01001,2638.050049,3388600,^KS11
2022-06-03,2662.310059,2685.899902,2653.590088,2670.649902,2227100,^KS11
2022-06-10,2659.27002,2662.040039,2583.73999,2595.870117,2638600,^KS11
2022-06-17,2550.209961,2550.320068,2396.469971,2440.929932,3262800,^KS11
2022-06-24,2449.889893,2449.889893,2306.47998,2366.600098,3006600,^KS11
2022-07-01,2383.199951,2422.100098,2291.48999,2305.419922,2541600,^KS11
2022-07-08,2310.72998,2367.840088,2276.629883,2350.610107,1953100,^KS11
