Date,Close,High,Low,Open,Volume
30-06-2020,25812.88086,25905.38086,25475.14063,25512.42969,410780000
01-07-2020,25734.9707,26019.31055,25713.60938,25879.38086,373180000
02-07-2020,25827.35938,26204.41016,25778.11914,25936.44922,349130000
06-07-2020,26287.0293,26297.5293,25996.08008,25996.08008,340690000
07-07-2020,25890.17969,26174.92969,25866.58008,26172.00977,346820000
08-07-2020,26067.2793,26109.49023,25816.25,25950.06055,337300000
09-07-2020,25706.08984,26103.2793,25523.50977,26094.91992,387610000
10-07-2020,26075.30078,26101.32031,25637.5,25690.34961,338170000
13-07-2020,26085.80078,26639.08984,26044.23047,26225.07031,425320000
14-07-2020,26642.58984,26690.51953,25994.98047,26044.16992,401640000
15-07-2020,26870.09961,27071.33008,26692.48047,27009.81055,384900000
16-07-2020,26734.71094,26879.16016,26590.00977,26746.57031,287330000
17-07-2020,26671.94922,26808.42969,26619.88086,26774.61914,296460000
20-07-2020,26680.86914,26765.01953,26504.19922,26660.28906,309390000
21-07-2020,26840.40039,27025.38086,26766.2207,26833.14063,364930000
22-07-2020,27005.83984,27035.24023,26794.18945,26824.56055,404340000
23-07-2020,26652.33008,26973.84961,26560.03906,26955.9707,419800000
24-07-2020,26469.89063,26625.69922,26402.85938,26533.41016,494170000
27-07-2020,26584.76953,26625.46094,26426.91992,26447.66992,400930000
28-07-2020,26379.2793,26556.83984,26361.71094,26529.44922,361090000
29-07-2020,26539.57031,26602.44922,26375.39063,26388.43945,347580000
30-07-2020,26313.65039,26374.92969,25992.2793,26367.41992,351540000
31-07-2020,26428.32031,26440.01953,26013.58984,26409.33008,488050000
03-08-2020,26664.40039,26707.25977,26534.38086,26542.32031,439380000
04-08-2020,26828.4707,26832.7207,26597.82031,26664.60938,346350000
05-08-2020,27201.51953,27221.66992,26924.7793,26924.7793,366000000
06-08-2020,27386.98047,27394.09961,27145.25,27170.82031,322460000
07-08-2020,27433.48047,27456.24023,27223.55078,27321.67969,321170000
10-08-2020,27791.43945,27803.85938,27488.21094,27488.21094,360340000
11-08-2020,27686.91016,28154.88086,27624.50977,27961.64063,428220000
12-08-2020,27976.83984,28043.89063,27843.32031,27860.24023,340210000
13-08-2020,27896.7207,27986.09961,27789.7793,27922.50977,360160000
14-08-2020,27931.01953,27977.81055,27759.39063,27828.92969,275540000
17-08-2020,27844.91016,27999.81055,27816.40039,27970.05078,286860000
18-08-2020,27778.07031,27891.11914,27668.78906,27853.48047,276170000
19-08-2020,27692.88086,27920.41992,27647.66992,27811.25977,311460000
20-08-2020,27739.73047,27781.46094,27526.25,27622.67969,304550000
